subject,catalog_num,title_units,description
ANTHRO,221-0,ANTHRO 221-0 Social and Health Inequalities (1 Unit),"Bidirectional relationship between social (e.g., class, gender, and racial/ethnic) and health inequalities, including institutional/structural, individual/family/psychosocial, and biological mechanisms. Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
ANTHRO,232-0,ANTHRO 232-0 Myth and Symbolism (1 Unit),"Introduction to different approaches to the interpretation of myth and symbolism, e.g., Freudian, functionalist, and structuralist. Ethical and Evaluative Thinking Foundational Disci Ethics  Values Distro Area"
ANTHRO,235-0,ANTHRO 235-0 Language in Asian America (1 Unit),"Survey of linguistic anthropological topics relevant to Asian American communities, including bilingualism, code switching, language socialization, language shift, style, sociolinguistic variation, indexicality, media, and semiotics. ANTHRO 235-0 and ASIAN_AM 235-0 are taught together; may not receive credit for both courses. Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
ANTHRO,238-0,ANTHRO 238-0 Food in Culture & Society (1 Unit),"This class explores food in all its cultural and social dimensions: deep history and origins; social, economic and political organization of the modern food industry; and cultural significance. Individual research projects allow in-depth study of one food; speakers, videos and experiential assignments take students out of the classroom to meet the people who sell, make, and grow our food. Global Perspectives on Power, Justice, and Equity Social and Behavioral Science Foundational Discipl"
ANTHRO,240-0,ANTHRO 240-0 Anthropology of Money (1 Unit),"A survey of cultural and ethnographic approaches to money and finance. Topics of investigation include “primitive money,” the uses of money in religious and ritual practices, social and cultural meanings of numbers, mobile money, crypto-currency and other alternative currency systems, and the politics of central banking. Social  Behavioral Sciences Distro Area"
ANTHRO,242-0,"ANTHRO 242-0 Porous Borders? Geography, Power and Techniques of Movement (1 Unit)","At the advent of globalization scholars have argued that the movements of capital, commodities and people across nation-states have rendered their borders increasingly porous. The death of the nation-state was announced elsewhere. Yet, in the epoch of offshored refugee processing centers and border walls, this assumed porosity of borders begs a reexamination of broader geographies of power and techniques of movement. Social  Behavioral Sciences Distro Area"
ANTHRO,255-0,ANTHRO 255-0 Contemporary African Worlds (1 Unit),Use of key anthropological insights about value judgments and cultural relativism to examine the survival strategies and turbulent histories of contemporary African societies. Ethics  Values Distro Area
ANTHRO,275-0,ANTHRO 275-0 Introduction to Forensic Anthropology (1 Unit),"This course provides an introductory overview of forensic anthropology by reviewing a range of issues associated with human skeletal identification including recovery techniques, time since death, biological profile development, trauma analysis, mass disasters investigation, and ethical consideration in forensic anthropology. These will serve as a model for understanding the broader aspects of the interaction between anthropology and the medicolegal system. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
ANTHRO,290-0,ANTHRO 290-0 Topics in Anthropology (1 Unit),Intermediate work in areas of developing interest and special significance. May be repeated for credit with different topic.
ANTHRO,306-0,ANTHRO 306-0 Evolution of Life Histories (1 Unit),"Evolved strategies for allocating resources among growth, reproduction, and maintenance; emphasis on the biological processes underlying the human life cycle and its evolution."
ANTHRO,307-0,ANTHRO 307-0 Anthropology of Peace (1 Unit),"Cultural and ethnographic approaches to peace, peace building and peace activism. Topics of investigation include the concept of ""peaceful societies,"" cultural mechanisms for conflict resolution, truth and reconciliation, the relationship between peace and commerce, and the role of literature, art and material culture in peace activism. Social  Behavioral Sciences Distro Area"
ANTHRO,309-0,ANTHRO 309-0 Human Osteology (1 Unit),Introduction to human skeletal anatomy and biology. Identification and classification of human bones through hands-on dry-lab-based analysis. Natural Sciences Distro Area Natural Sciences Foundational Discipline
ANTHRO,312-0,ANTHRO 312-0 Human Population Biology (1 Unit),"Current theory and research in human biological diversity, focusing on the impact of ecological and social factors on human biology; how adaptation to environmental stressors promotes human biological variation. ANTHRO 213-0 . Natural Sciences Distro Area"
ANTHRO,313-0,ANTHRO 313-0 Evolutionary Medicine (1 Unit),"In this course we explore how evolution has made our bodies susceptible to the role of environments and social forces, including factors like stress, discrimination and inequality. We consider fields at the interface of the social and biological, including genetics, epigenetics and social epidemiology. Social  Behavioral Sciences Distro Area"
ANTHRO,314-0,ANTHRO 314-0 Human Growth & Development (1 Unit),Integrated biological and cultural perspective on human growth and development from infancy through adolescence; cross-cultural variation in developmental processes and outcomes.
ANTHRO,315-0,ANTHRO 315-0 Medical Anthropology (1 Unit),"Theories of interactions between culture and biology that affect human health. Beliefs and practices for curing illness and maintaining wellbeing. Cross-cultural study of infectious and chronic diseases, mental illness, infant/maternal mortality, poverty, and gender."
ANTHRO,317-0,ANTHRO 317-0 Human Evolution (1 Unit),Fossil record and reconstruction of phylogeny; morphological and behavioral adaptation of early hominids and forebears. Natural Sciences Distro Area
ANTHRO,318-0,ANTHRO 318-0 Material Worlds of the Middle Ages (1 Unit),"Landscapes, buildings, and material culture of medieval Europe, as seen through archaeology and related disciplines. Historical Studies Distro Area Historical Studies Foundational Discipline"
ANTHRO,319-0,"ANTHRO 319-0 Material Life & Culture in Europe, 1500-1800 (1 Unit)","Landscapes, buildings, and material culture of early modern Europe, as seen through archaeology and related disciplines. Historical Studies Distro Area Historical Studies Foundational Discipline"
ANTHRO,320-0,ANTHRO 320-0 Peoples of Africa (1 Unit),A survey of the cultures of Africa and the significant similarities and differences among the indigenous societies of the continent. Social  Behavioral Sciences Distro Area
ANTHRO,321-0,ANTHRO 321-0 Archaeological Field Methods (1 Unit),Practical training in basic methods and techniques at an excavation site; given with summer Archaeology Field School.
ANTHRO,322-0,ANTHRO 322-0 Introduction to Archaeology Research Design & Methods (1 Unit),"Regional and site-specific approaches to the description and analysis of patterns in archaeological data, including settlement survey, site characterization, vertical excavations, and horizontal household excavations. Advanced Expression Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,324-0,ANTHRO 324-0 Archaeological Survey Methods (1 Unit),"Unique contributions of archaeological surveys to research about past peoples and places. Course uses geospatial technologies, such as shallow geophysics and GIS. Historical Studies Distro Area"
ANTHRO,325-0,ANTHRO 325-0 Archaeological Methods Laboratory (1 Unit),"Analysis of archaeological methods (faunal, botanical, artifact, or soil analysis) with various techniques. May be repeated for credit."
ANTHRO,326-0,ANTHRO 326-0 Archaeologies of Sustainability and Collapse (1 Unit),"Archaeological survey of case studies from the past to interrogate human-environment relationships across time and space, including the present and the future. ANTHRO 326-0 and ENVR_POL 385-0 taught together, may not receive credit for both. Global Perspectives on Power, Justice, and Equity Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,327-0,ANTHRO 327-0 Historical Archaeology (1 Unit),"Archaeology of the past 500 years in the Americas. Study of the material remains people left behind: architecture, burials, food remains, clothing and jewelry, etc. Analysis of race, class gender and indigeneity are core themes. European colonialism, resistance, capitalism, and power are explored, and presentation or exclusion of groups in depictions of history and in the creation new identities (ethnogenesis). Historical Studies Distro Area Historical Studies Foundational Discipline"
ANTHRO,328-0,ANTHRO 328-0 The Maya (1 Unit),The archaeology of the Maya in Latin America; life and society in pre-Columbian Maya civilization. Historical Studies Distro Area
ANTHRO,329-0,ANTHRO 329-0 Archaeology and Nationalism (1 Unit),"The course explores the role of archaeology in the creation and elaboration of national identities (18th C century to present): the institutionalization of archaeology; development of museums and practices of display/interpretation;archaeological sites as national monuments and tourist destinations; and cultural property legislation and artifact repatriation. HUM 329-0 and ANTHRO 329-0 are taught together; may not receive credit for both. Global Perspectives on Power, Justice, and Equity Historical Studies Distro Area Historical Studies Foundational Discipline"
ANTHRO,330-0,ANTHRO 330-0 Peoples of the World (1 Unit),"Comparative ethnography of a regionally or historically associated group of cultures or a type of community defined in ecological, ideological, or other terms. May be repeated for credit. Social  Behavioral Sciences Distro Area"
ANTHRO,332-0,ANTHRO 332-0 The Anthropology of Reproduction (1 Unit),"Marriage and reproduction throughout the world, particularly the developing world and Africa. Conjugal strategies, fertility, contraception. Social  Behavioral Sciences Distro Area"
ANTHRO,334-0,ANTHRO 334-0 The Anthropology of HIV/AIDS: Ethnographies (1 Unit),The experiences of HIV-positive people; local and global policies shaping access to treatment; contributions of anthropologists to reducing HIV/AIDS globally. Readings from classic and current ethnographies. Social  Behavioral Sciences Distro Area
ANTHRO,339-0,ANTHRO 339-0 Material Culture (1 Unit),Relationship between material objects and social life; review of theoretical approaches to gifts and commodities; ethnographic collecting in colonial and postcolonial settings; relationship between culture and aesthetics. ANTHRO 211-0 or consent of instructor. Social  Behavioral Sciences Distro Area
ANTHRO,340-0,ANTHRO 340-0 Visual Anthropology of Africa (1 Unit),"Anthropological analysis of techniques, visual rhetoric, and narrative strategies embedded in images of Africa and Africans in a variety of contemporary and digital media. Course includes instruction in video production."
ANTHRO,341-0,ANTHRO 341-0 Economic Anthropology (1 Unit),Economic organization in small-scale non-industrialized communities. Traditional structures of primitive and peasant economies. Social  Behavioral Sciences Distro Area
ANTHRO,343-0,ANTHRO 343-0 Anthropology of Race (1 Unit),"Anthropological approaches to the analysis of race, racialization, and antiracism. Human variation, space, segregation, comparative analysis, and language ideologies. Social  Behavioral Sciences Distro Area"
ANTHRO,350-0,ANTHRO 350-0 Anthropology of Religion (1 Unit),The human relationship with the supernatural. Action patterns accompanying beliefs. Comparison of nonliterate religions and historical religions. Ethics  Values Distro Area
ANTHRO,351-0,ANTHRO 351-0 Hope and Futurity (1 Unit),"An in‐depth survey of anthropological, sociological, literary, philosophical and religious explorations into the problem of hope. Ethics  Values Distro Area"
ANTHRO,353-0,ANTHRO 353-0 Shady Business: Informal Economies in Contemporary Capitalism (1 Unit),"Taking stock of world economic changes such as the collapse of socialism, the advent of globalization as well as the intensification of transnational labor migration, this course aims to reveal the categorical distinctions drawn between formal and informal economies in contemporary capitalism as historically situated and politically charged constructs. Social  Behavioral Sciences Distro Area"
ANTHRO,354-0,ANTHRO 354-0 Gender and Anthropology (1 Unit),"Cross-cultural survey of women's roles from three perspectives: biosocial, sociocultural, politico-economic. Theory of gender inequality. Emphasis on the third world. Social  Behavioral Sciences Distro Area"
ANTHRO,355-0,ANTHRO 355-0 Sexualities (1 Unit),"Cross-cultural survey of sexuality from an anthropological perspective. Focus on first half of the 20th century, the 1970s, 1980s, and the turn of the 21st century. Social  Behavioral Sciences Distro Area"
ANTHRO,357-0,ANTHRO 357-0 Biocultural Perspectives on Water Insecurity (1 Unit),"Explore many ways that water impacts humans around the world through the lens of anthropology, religion, biology, environment, and politics. Why do individual’s experiences with water differ? How does water insecurity manifest? How do we measure it? How do we solve it? ANTHRO 357-0 and GBL_HLTH 357-0 are taught together; students may not receive credit for both. Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,358-0,ANTHRO 358-0 Primate Behavior and Ecology (1 Unit),"This course provides an introductory overview of non-human primate behavior and ecology, covering topics nutrition, cognition, sociality, and conservation. No prerequisites. Social  Behavioral Sciences Distro Area"
ANTHRO,359-0,ANTHRO 359-0 The Human Microbiome and Health (1 Unit),"Discussion-based analysis of cutting-edge research on the microbes associated with the human body and their impacts on health. Consideration of historical, social, and political influences on observed patterns. Natural Sciences Distro Area"
ANTHRO,360-0,ANTHRO 360-0 Language and Culture (1 Unit),Relationship between language and culture; language as the vehicle of culture and as the manifestation of thought. Social  Behavioral Sciences Distro Area
ANTHRO,361-0,ANTHRO 361-0 Talk as Social Action (1 Unit),"Analysis of talk in interaction based on examination of audio and video recorded data and associated transcripts. Conversation, action, turn, sequence, relevance, social structure, qualitative methodologies. ANTHRO 215-0 or consent of instructor. Social  Behavioral Sciences Distro Area"
ANTHRO,362-0,ANTHRO 362-0 Advanced Methods in Quantitative Analysis (1 Unit),Advanced applications of univariate and multivariate statistics to anthropological research questions. Formal Studies Distro Area
ANTHRO,365-0,"ANTHRO 365-0 Language, Race, & Ethnicity in the U.S. (1 Unit)","Analysis of connections between language ideologies, language use, and meanings of race and ethnicity. Bilingualism, immigration, identity, accented English, African American English, language policy, English only movement, education, social change. ANTHRO 365-0 and ASIAN_AM 365-0 are taught together; may not receive credit for both courses. Social  Behavioral Sciences Distro Area"
ANTHRO,368-0,ANTHRO 368-0 Latina and Latino Ethnography (1 Unit),Sociocultural analysis of US Latina/o communities. Examines ethnographies by and about Latina/os based in the United States. Draws on a broad disciplinary basis to critique and elaborate on ethnographic methods and epistemologies. ANTHRO 211-0 or consent of instructor. Ethics  Values Distro Area Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl
ANTHRO,369-0,ANTHRO 369-0 Contemporary Immigration to the U.S. (1 Unit),"Major theories in immigration studies; contemporary processes of immigration and immigrant ""community building"" in the United States. Social  Behavioral Sciences Distro Area"
ANTHRO,370-0,ANTHRO 370-0 Anthropology in Historical Perspective (1 Unit),"Major schools of thought in social, archaeological, and biological anthropology over the last century. Historical Studies Distro Area Historical Studies Foundational Discipline"
ANTHRO,373-0,ANTHRO 373-0 Power and Culture in American Cities (1 Unit),"Overview of history and present realities of American urban life, with focus on ethnographic knowledge and stratifications by class, race, ethnicity, gender, nationality, and sexuality. Social  Behavioral Sciences Distro Area"
ANTHRO,375-0,ANTHRO 375-0 Advanced Methods in Forensic Anthropology (1 Unit),"This course provides a review of advanced methods in forensic anthropology. We will discuss the full range of issues associated with human skeletal identification from biological profile construction to trauma analysis. This class will include discussion of relevant literature in forensic anthropology and hands-on, dry lab activity to better appreciate the reality of practitioners in the field. Natural Sciences Distro Area Natural Sciences Foundational Discipline"
ANTHRO,377-0,ANTHRO 377-0 Psychological Anthropology (1 Unit),Contemporary approaches to cross-cultural behavior: ecocultural aspects of behavior development through maturation and socialization in human and nonhuman primates. Social  Behavioral Sciences Distro Area
ANTHRO,378-0,ANTHRO 378-0 Law and Culture (1 Unit),"Introduction to the anthropology of law; institutional knowledge as seen in material culture and legal documents; colonial and postcolonial settings; relationships between law and culture, colonialism, evidence, and globalization. Social  Behavioral Sciences Distro Area"
ANTHRO,382-0,ANTHRO 382-0 Political Ecology (1 Unit),"Introduction to a multidisciplinary body of theory and research that analyzes the environmental articulations of political, economic, and social difference and inequality. Topics include environmental scarcity and degradation, sustainability, resilience and conservation. ANTHRO 382-0 and ENVR_POL 384-0 taught together, may not receive credit for both. Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
ANTHRO,383-0,ANTHRO 383-0 Environmental Anthropology (1 Unit),"How humans have changed and are changing the environment and what can be done to halt environmental deterioration. Topics include population trends, food supplies, consumerism, environmental regulation, and ecological consciousness. Global Perspectives on Power, Justice, and Equity Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,384-0,"ANTHRO 384-0 Traveling While Muslim: Islam, Mobility, and Security after 9/11 (1 Unit)","What are the stakes of traveling while Muslim in that post 9/11 era of racing Islam? How do we come to understand such mobility? In probing these questions, amongst others, in this seminar we aim to examine the interlocked relationship between Islam, mobility and security. Social  Behavioral Sciences Distro Area"
ANTHRO,386-0,ANTHRO 386-0 Methods in Human Biology Research (1 Unit),"Laboratory-based introduction to international research in human biology and health; methods for assessing nutritional status, physical activity, growth, cardiovascular health, endocrine and immune function. ANTHRO 213-0 or consent of instructor. Advanced Expression Natural Sciences Distro Area Natural Sciences Foundational Discipline"
ANTHRO,389-0,ANTHRO 389-0 Ethnographic Methods and Analysis (1 Unit),"Descriptive, naturalistic study of the culture of human social groups. Data gathering through observation and interview. Data analysis for ethnographic reporting. ANTHRO 211-0 and ANTHRO 215-0 . Advanced Expression Social  Behavioral Sciences Distro Area Social and Behavioral Science Foundational Discipl"
ANTHRO,390-0,ANTHRO 390-0 Topics In Anthropology (1 Unit),Advanced work in areas of developing interest and special significance. May be repeated for credit with different topic.
ANTHRO,398-0,ANTHRO 398-0 Senior Seminar (1 Unit),Supervised group discussion of research during preparation of the senior thesis project. Advanced Expression
ANTHRO,399-0,ANTHRO 399-0 Independent Study (1 Unit),"Open with consent of department to juniors and seniors who have completed with distinction at least 2 courses or the equivalent in anthropology. Under direction of individual members of department. © 2022-2023 Northwestern University Campus Emergency Information Careers Contact Northwestern University Disclaimer Report an Accessibility Issue University Policies Contact Information Office of the Registrar address 633 Clark Street Evanston, IL 60208-1118 Evanston phone number (847) 491-5234 Fax (847) 491-8458 Email Northwestern Registrar's Office nu-registrar@northwestern.edu Social Media Facebook Twitter Instagram YouTube RSS Additional Links Bookstore Directory Library Maps Media Relations Parking Shuttles Student Complaint Procedure Back to Top Print Options Send Page to Printer Print this page. Download Page (PDF) The PDF will include all information unique to this page. Undergraduate Catalog 2024-2025 PDF of the 2024-2025 Undergraduate Catalog. Cancel"
ARABIC,111-1,ARABIC 111-1 Arabic I (1 Unit),"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers."
ARABIC,111-2,ARABIC 111-2 Arabic I (1 Unit),"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 111-1 or equivalent."
ARABIC,111-3,ARABIC 111-3 Arabic I (1 Unit),"Three-course introduction to listening, speaking, reading, and writing Arabic. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. Prerequisite: None or placement exam results. ARABIC 111-2 or equivalent."
ARABIC,114-0,ARABIC 114-0 Conversation and Culture in the Arab World (1 Unit),"This course focuses one of the main dialects of Arabic (Egyptian, Levantine, Moroccan). This course is strongly recommended for students, undergraduate or graduate, who wish to further explore a spoken variety of Arabic. The course uses a communicative, proficiency-oriented approach with fully integrated audiovisual media to help students acquire a solid background on how to communicate using a dialect."
ARABIC,121-1,ARABIC 121-1 Arabic II (1 Unit),"Further development of grammar knowledge, reading, writing, speaking, and listening skills. Completion of at least this level is recommended for students seeking functional proficiency for study abroad. ARABIC 111-3 or equivalent."
ARABIC,121-2,ARABIC 121-2 Arabic II (1 Unit),"Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 121-1 or equivalent."
ARABIC,121-3,ARABIC 121-3 Arabic II (1 Unit),"Further development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 121-2 or equivalent."
ARABIC,125-0,ARABIC 125-0 Media Arabic (1 Unit),"Introduction to vocabulary, expressions, and terminology used in Arab print and broadcast media. ARABIC 121-2 or equivalent."
ARABIC,211-1,ARABIC 211-1 Arabic III (1 Unit),"Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 121-3 or equivalent."
ARABIC,211-2,ARABIC 211-2 Arabic III (1 Unit),"Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 211-1 or equivalent."
ARABIC,211-3,ARABIC 211-3 Arabic III (1 Unit),"Continued skills development of grammar knowledge, reading, writing, speaking, and listening skills as well as cultural knowledge. The course follows the integrated approach which blends the standard Arabic, Fuṣḥā (reading and writing) and the dialect/colloquial language, āmmiyya (speaking and listening) in a way that reflects the authentic practice of native Arabic speakers. ARABIC 211-2 or equivalent."
ARABIC,216-0,ARABIC 216-0 Language and Culture (1 Unit),"In this course students will study important cultural themes in Arab society.  In-depth exploration of a variety of historical and cultural topics from various sources help students build a comprehensive vocabulary as well as expand their reading knowledge and cultural understanding. The course will engage both, the MSA “frame” of narration as well as the spoken Arabic dialogue. ARABIC 121-3 or permission of the instructor."
ARABIC,245-0,ARABIC 245-0 Current Events in the Middle East: Arab Society through Online News Media (1 Unit),"This course focuses on current events in the Middle East through in‐depth exploration of online News Media sources such as foreign newspaper articles and videos. Students will gain respect for alternative ideas and diversity of views as expressed in Arab news. The course focuses on reading, listening, discussion as well as building a comprehensive vocabulary in MSA and dialect. ARABIC 121-3 and ARABIC 125-0 or permission of the instructor. May be repeated for credit with different topic."
ARABIC,304-0,ARABIC 304-0 Translation in Practice: A Bridge to the Future (1 Unit),"This unique foundational courses introduces students to translation skills to provide them with a competitive edge on the job market. Honing grammatical as well as stylistic facility in Arabic, the course promotes higher-level linguistic analysis and interpretation by following a problem-solving approach in translation."
ARABIC,316-1,ARABIC 316-1 Reading Arabic Poetry (1 Unit),"Advanced class reading, analyzing, and discussing G18 Arabic Poetry. Content varies.  May be repeated for credit with different topic. Open to heritage speakers. Literature  Fine Arts Distro Area"
ARABIC,316-2,ARABIC 316-2 Reading Classical Arabic Texts (1 Unit),"Advanced class reading, analyzing, and discussing Classical Arabic texts. Content varies.  May be repeated for credit with different topic. Open to heritage speakers. ARABIC 211-3 or equivalent. Literature  Fine Arts Distro Area"
ARABIC,316-3,ARABIC 316-3 Reading Modern Arabic Prose (1 Unit),"Advanced class reading, analyzing, and discussing Modern Arabic prose. Content varies.  May be repeated for credit with different topic. Open to heritage speakers. ARABIC 211-3 or equivalent. Literature  Fine Arts Distro Area"
